"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500","iteration_2550","iteration_2600","iteration_2650","iteration_2700","iteration_2750","iteration_2800","iteration_2850","iteration_2900","iteration_2950","iteration_3000","iteration_3050","iteration_3100","iteration_3150","iteration_3200","iteration_3250","iteration_3300","iteration_3350","iteration_3400","iteration_3450","iteration_3500","iteration_3550","iteration_3600","iteration_3650","iteration_3700","iteration_3750","iteration_3800","iteration_3850","iteration_3900","iteration_3950","iteration_4000","iteration_4050","iteration_4100","iteration_4150","iteration_4200","iteration_4250","iteration_4300","iteration_4350","iteration_4400","iteration_4450","iteration_4500","iteration_4550","iteration_4600","iteration_4650","iteration_4700","iteration_4750","iteration_4800","iteration_4850","iteration_4900","iteration_4950","iteration_5000"
"37185000005",4,6,6,8,3,1,9,13,3,3,4,12,7,12,1,8,8,8,8,1,11,2,7,4,11,6,13,5,13,10,13,7,13,6,6,6,2,13,6,2,2,11,2,6,6,2,5,4,5,6,10,4,10,4,8,7,8,8,1,4,4,4,8,14,12,7,7,9,4,12,12,8,6,6,6,6,6,6,6,10,10,9,9,6,6,6,6,6,6,8,8,8,8,4,4,12,12,12,12,5,5
"3710900DW28",12,13,2,7,5,11,7,4,11,2,11,10,6,13,6,13,6,10,9,10,13,6,9,9,13,8,4,4,4,4,6,12,3,3,12,3,8,8,1,10,1,1,8,8,12,1,2,1,7,7,7,5,12,2,11,11,14,9,9,10,9,11,10,10,2,1,10,3,3,3,3,14,11,1,2,2,13,13,13,3,3,3,3,3,3,3,3,3,3,11,11,11,3,3,3,11,11,11,11,3,3
"370890000MG",5,9,9,2,2,14,11,2,2,2,11,14,14,14,11,6,13,13,13,13,10,14,14,14,14,14,14,8,8,8,2,12,9,9,9,9,10,10,12,12,12,12,12,12,8,8,8,13,13,13,13,13,14,14,14,14,9,2,11,9,10,10,11,11,11,11,11,11,11,11,11,11,14,14,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"37183004-16",8,8,8,10,10,8,12,9,9,9,12,13,8,12,7,4,4,4,3,12,1,7,11,5,10,10,5,13,7,13,5,14,5,11,14,4,13,5,11,4,4,13,1,13,13,4,4,9,9,10,8,9,7,6,6,8,7,1,3,3,1,1,4,7,8,4,8,8,12,5,8,12,12,12,12,12,8,8,10,6,6,6,6,9,8,8,8,7,7,7,7,7,7,7,7,7,7,7,5,12,12
"37183004-15",8,8,8,14,10,12,1,9,9,9,13,13,8,1,7,3,3,4,3,12,1,7,2,5,10,10,5,13,7,13,5,14,5,11,13,4,13,5,11,4,4,13,1,13,13,4,4,9,2,10,8,9,7,6,6,8,7,1,3,3,1,7,4,7,8,4,8,8,12,5,8,12,12,12,12,12,8,8,10,6,6,6,6,9,8,8,8,7,7,7,7,7,7,7,7,7,7,7,5,12,12
"37183004-14",8,8,8,10,10,12,1,9,9,9,12,13,8,12,7,4,4,4,3,12,1,7,11,5,10,10,5,13,7,13,5,14,5,11,14,4,13,5,11,4,4,13,1,13,13,4,4,9,9,10,8,9,7,6,6,8,7,1,3,3,1,1,4,7,8,4,8,8,12,5,8,12,12,12,12,12,8,8,10,6,6,6,6,9,8,8,8,7,7,7,7,7,7,7,7,7,7,7,5,12,12
"37183004-13",8,8,8,14,10,12,1,9,9,9,13,13,8,12,5,3,3,4,3,12,1,7,2,5,10,10,5,13,10,13,5,14,5,11,13,4,13,5,11,4,4,13,1,13,13,4,4,9,2,10,8,9,7,6,6,8,7,1,3,3,1,7,4,7,8,4,8,8,12,5,8,12,12,12,12,12,8,8,10,6,6,6,6,9,8,8,8,7,7,7,7,7,7,7,7,7,7,7,5,12,12
"37183004-12",8,8,8,10,14,8,12,9,9,9,12,12,8,7,7,3,3,4,3,12,1,4,2,5,10,10,5,13,7,13,5,14,5,11,14,4,13,5,11,4,4,13,1,13,13,4,4,9,9,10,8,9,7,6,6,8,7,1,3,3,1,7,4,7,8,4,8,8,12,5,8,12,12,12,12,12,8,8,10,6,6,6,6,9,8,8,8,7,7,7,7,7,7,7,7,7,7,7,5,12,12
"37051000G8D",7,5,14,13,1,9,13,1,6,8,8,8,3,5,5,2,12,5,7,11,8,12,5,7,1,5,7,7,5,3,11,6,6,13,4,2,4,2,4,11,11,3,4,14,14,6,11,11,6,12,6,6,1,1,1,1,1,3,6,6,6,6,1,13,6,9,12,12,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,9,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"37183004-11",8,8,4,14,10,8,1,9,9,9,12,12,8,1,7,3,3,4,3,8,1,7,2,5,10,10,5,13,7,13,5,14,11,7,13,4,7,5,11,4,4,13,1,13,13,4,4,9,2,10,9,9,7,6,6,8,7,1,3,3,1,7,4,7,8,4,8,8,12,5,8,12,12,12,12,12,8,8,10,6,6,6,6,9,8,8,8,7,7,7,7,7,7,7,7,7,7,7,5,12,12
"37051000G8C",7,5,14,12,1,9,13,1,6,8,8,8,3,5,3,2,12,5,7,11,8,12,5,7,1,5,7,7,5,3,11,6,6,13,4,2,4,2,4,11,11,3,4,14,14,6,11,11,6,12,6,6,1,1,1,1,1,3,6,6,6,6,1,13,6,9,12,12,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,9,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"37183004-10",8,8,8,14,10,12,1,9,9,9,12,13,8,12,5,3,3,4,3,12,1,7,11,5,10,10,5,13,7,13,5,14,5,11,13,4,13,5,11,4,4,13,1,13,13,4,4,9,9,10,8,9,4,6,6,8,7,1,3,3,1,1,4,7,8,4,8,8,12,5,8,12,12,12,12,12,8,8,10,6,6,6,6,9,8,8,8,7,7,7,7,7,7,7,7,7,7,7,5,12,12
"37051000G8B",7,5,14,13,1,10,13,1,6,8,8,8,3,5,5,2,12,5,7,11,8,12,5,7,1,5,7,7,5,3,11,6,6,13,4,2,4,2,4,11,11,3,4,14,14,6,11,11,6,12,6,6,1,1,1,1,1,3,6,6,6,6,1,13,6,9,12,12,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,9,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"37051000G8A",7,5,14,12,1,9,13,1,6,8,8,8,4,5,3,2,12,5,7,11,8,12,5,7,1,5,7,7,5,3,11,6,6,13,4,2,4,2,4,11,11,3,4,14,14,6,11,11,6,12,6,6,1,1,1,1,1,3,6,6,6,6,1,13,6,9,12,12,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,9,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"371350000EH",1,8,8,14,13,7,1,9,9,9,13,13,1,1,2,4,2,12,12,8,2,7,11,4,2,7,3,1,1,14,1,1,1,1,1,11,12,4,5,7,7,2,13,5,5,13,4,10,10,1,1,1,6,7,7,6,6,14,14,14,3,13,7,4,4,8,4,4,8,8,5,5,10,8,8,8,12,12,12,5,12,12,12,12,12,9,9,9,9,6,6,5,5,5,5,5,5,5,7,7,7
"370830ENF-2",4,6,6,8,3,1,8,13,8,3,4,3,5,2,1,12,8,8,8,1,11,2,7,2,11,6,13,5,13,10,13,7,13,6,6,6,2,13,6,2,2,11,2,6,6,3,5,6,5,6,10,4,10,4,8,7,8,8,1,4,4,4,8,14,12,7,7,9,4,12,12,8,6,6,6,6,6,6,6,10,10,9,9,6,6,6,6,6,6,8,8,8,8,4,4,12,12,12,12,5,5
"371350000EF",1,8,8,10,13,7,1,7,4,10,13,13,1,1,2,7,2,12,12,8,2,7,11,4,2,7,3,1,1,14,1,1,1,1,1,11,12,4,5,7,7,2,13,5,5,13,4,10,10,1,1,1,6,7,7,6,6,14,14,14,3,13,7,4,4,8,4,4,8,8,5,5,10,8,8,8,12,12,12,5,12,12,12,12,12,9,9,9,9,6,6,5,5,5,5,5,5,5,7,7,7
"37099000SAV",5,9,9,2,2,14,11,2,2,14,10,14,14,14,11,6,13,13,13,13,10,14,14,14,14,14,14,8,8,8,2,2,9,9,9,9,10,10,12,12,12,12,12,12,8,8,8,13,13,13,13,13,14,14,14,14,9,2,11,9,10,10,11,11,11,11,11,11,11,11,11,11,14,14,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"3707700BERE",1,1,4,14,13,7,9,13,3,3,6,12,7,1,2,7,2,12,12,8,2,4,7,4,11,7,3,5,13,7,1,1,11,7,6,6,2,13,5,7,7,5,2,6,4,2,10,4,5,6,10,4,10,4,8,7,8,8,1,4,4,4,8,14,12,7,7,9,4,12,12,8,6,6,6,6,6,6,6,10,10,9,9,6,6,6,6,6,6,8,8,8,8,4,4,12,12,12,12,5,5
"371350000ES",1,8,8,14,13,7,1,9,9,9,13,13,1,1,2,4,2,12,12,8,2,7,11,4,2,7,3,1,1,14,1,1,1,1,1,11,12,4,5,7,7,2,13,5,5,13,4,10,10,1,1,1,6,7,7,6,6,14,14,14,3,13,7,4,4,8,4,4,8,8,5,5,10,8,8,8,12,12,12,5,12,12,12,12,12,9,9,9,9,6,6,5,5,5,5,5,5,5,7,7,7
"370890000NE",5,9,9,2,2,14,11,2,2,14,10,14,14,14,11,6,13,13,13,13,10,14,14,14,14,14,14,8,8,8,2,12,9,9,9,9,10,10,12,12,12,12,12,12,8,8,8,13,13,13,13,13,14,14,14,14,9,2,11,9,10,10,11,11,11,11,11,11,11,11,11,11,14,14,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"37183019-12",9,1,4,4,13,8,9,13,3,13,6,12,7,12,7,3,3,7,5,4,4,4,2,2,11,6,13,3,7,7,7,11,11,7,13,13,7,12,3,3,3,5,2,6,4,5,10,4,5,9,9,9,10,4,8,7,8,8,1,4,4,4,8,14,12,7,7,9,4,12,12,8,6,6,6,6,6,6,6,10,10,9,9,6,6,6,6,6,6,8,8,8,8,4,4,12,12,12,12,5,5
"37183019-11",9,1,4,4,13,8,9,13,3,13,6,12,7,12,7,3,3,7,5,4,4,4,2,2,11,6,13,3,7,7,7,11,11,7,13,13,7,12,3,3,3,5,2,6,4,5,10,4,5,9,9,9,10,4,8,7,8,8,1,4,4,4,8,14,12,7,7,9,4,12,12,8,6,6,6,6,6,6,6,10,10,9,9,6,6,6,6,6,6,8,8,8,8,4,4,12,12,12,12,5,5
"370890000NB",5,9,9,2,2,14,11,2,2,2,11,14,14,14,11,6,13,13,13,13,10,14,14,14,14,14,14,8,8,8,2,12,9,9,9,9,10,10,12,12,12,12,12,12,8,8,8,13,13,13,13,13,14,14,14,14,9,2,11,9,10,10,11,11,11,11,11,11,11,11,11,11,14,14,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"370890000LJ",5,9,9,2,2,14,11,2,2,14,10,14,14,14,11,6,13,13,13,13,10,14,14,14,14,14,14,8,8,8,2,12,9,9,9,9,10,10,12,12,12,12,12,12,8,8,8,13,13,13,13,13,14,14,14,14,9,2,11,9,10,10,11,11,11,11,11,11,11,11,11,11,14,14,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"37183019-19",9,1,4,4,13,8,9,13,3,6,6,12,7,12,8,3,3,4,5,4,4,2,2,2,11,6,13,3,7,7,7,11,11,7,13,13,7,12,3,3,3,5,2,6,4,5,10,6,5,9,9,9,10,4,8,7,8,8,1,4,4,4,8,14,12,7,7,9,4,12,12,8,6,6,6,6,6,6,6,10,10,9,9,6,6,6,6,6,6,8,8,8,8,4,4,12,12,12,12,5,5
"37183019-18",9,1,4,4,13,8,9,13,3,13,6,12,7,12,8,3,3,4,5,4,4,2,7,2,11,6,13,3,7,7,7,11,11,7,13,13,7,12,3,3,3,5,2,6,4,5,10,4,5,9,9,9,10,4,8,7,8,8,1,4,4,4,8,14,12,7,7,9,4,12,12,8,6,6,6,6,6,6,6,10,10,9,9,6,6,6,6,6,6,8,8,8,8,4,4,12,12,12,12,5,5
"37183019-17",9,1,4,4,14,8,9,13,3,13,6,12,7,12,8,3,3,4,5,4,4,2,7,2,11,6,13,3,7,7,7,11,11,7,13,13,7,12,3,3,3,5,11,4,4,5,10,4,9,9,9,9,10,3,4,7,8,8,8,4,4,4,8,14,12,7,7,7,7,12,12,8,6,6,6,6,6,6,6,10,10,9,9,6,6,6,6,6,6,8,8,8,8,4,4,12,12,12,12,5,5
"37183019-16",9,1,4,4,14,8,9,13,3,6,6,12,7,12,8,3,3,4,5,4,4,2,7,2,11,6,13,3,7,10,7,11,11,7,13,13,7,12,3,3,3,5,11,4,4,5,10,6,9,9,9,9,10,3,4,7,8,8,8,4,4,4,8,14,12,7,7,7,7,12,12,8,6,6,6,6,6,6,6,10,10,9,9,6,6,6,6,6,6,8,8,8,8,4,4,12,12,12,12,5,5
"37183019-15",9,1,4,4,13,8,9,13,3,13,6,12,7,12,7,3,3,4,5,4,4,4,2,2,11,6,13,3,7,7,7,11,11,7,13,13,7,12,3,3,3,5,2,6,4,5,10,4,5,9,9,9,10,4,8,7,8,8,1,4,4,4,8,14,12,7,7,9,4,12,12,8,6,6,6,6,6,6,6,10,10,9,9,6,6,6,6,6,6,8,8,8,8,4,4,12,12,12,12,5,5
"37183019-14",9,1,4,4,13,8,9,13,3,13,6,12,7,12,7,3,3,4,5,4,4,4,2,2,11,6,13,3,7,7,7,11,11,7,13,13,7,12,3,3,3,5,2,6,4,5,10,4,9,10,9,9,10,4,8,7,8,8,1,4,4,4,8,14,12,7,7,9,4,12,12,8,6,6,6,6,6,6,6,10,10,9,9,6,6,6,6,6,6,8,8,8,8,4,4,12,12,12,12,5,5
"371350000HF",1,8,8,14,13,7,1,9,9,9,13,13,1,1,2,7,2,12,12,8,2,7,11,4,2,7,3,1,1,14,1,1,1,1,1,11,12,4,5,7,7,2,13,5,5,13,4,10,10,1,1,1,6,7,7,6,6,14,14,14,3,13,7,4,4,8,4,4,8,8,5,5,10,8,8,8,12,12,12,5,12,12,12,12,12,9,9,9,9,6,6,5,5,5,5,5,5,5,7,7,7
"37183019-13",9,1,4,4,13,8,9,13,3,13,6,12,7,12,7,3,3,7,5,4,4,4,2,2,11,6,13,3,7,7,7,11,11,7,13,13,7,12,3,3,3,5,2,6,4,5,10,4,5,9,9,9,10,4,8,7,8,8,1,4,4,4,8,14,12,7,7,9,4,12,12,8,6,6,6,6,6,6,6,10,10,9,9,6,6,6,6,6,6,8,8,8,8,4,4,12,12,12,12,5,5
"371350000HE",1,8,8,10,13,7,1,9,9,10,13,13,1,1,2,7,2,12,12,8,2,7,11,4,2,7,3,1,1,14,1,1,1,1,1,11,12,4,5,7,7,2,13,5,5,13,4,10,10,1,1,1,6,7,7,6,6,14,14,14,3,13,7,4,4,8,4,4,8,8,5,5,10,8,8,8,12,12,12,5,12,12,12,12,12,9,9,9,9,6,6,5,5,5,5,5,5,5,7,7,7
"370890000LP",5,9,9,2,2,14,11,2,2,14,10,14,14,14,11,6,13,13,13,13,10,14,14,14,14,14,14,8,8,8,2,12,9,9,9,9,10,10,12,12,12,12,12,12,8,8,8,13,13,13,13,13,14,14,14,14,9,2,11,9,10,10,11,11,11,11,11,11,11,11,11,11,14,14,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"3700700BURN",2,10,5,6,10,10,5,12,12,11,7,4,9,9,10,14,14,9,10,14,6,10,12,13,4,4,9,9,6,6,8,5,4,10,10,10,3,3,14,14,9,2,13,14,14,6,11,7,8,12,6,6,1,12,12,12,12,10,13,13,13,12,1,13,6,9,12,12,9,9,9,9,9,9,9,9,9,9,12,5,12,12,12,12,12,9,9,9,9,6,6,5,5,5,5,5,5,5,7,7,7
"37115HOT-SP",5,9,9,2,2,14,11,2,2,14,10,14,14,14,11,6,13,13,13,13,10,14,14,14,14,14,14,8,8,8,2,2,9,9,9,9,10,10,12,12,12,12,12,12,8,8,8,1,13,13,13,13,14,14,14,14,9,2,11,9,10,10,11,11,11,11,11,11,11,11,11,11,14,14,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"37047000P07",7,4,13,12,8,9,13,1,1,12,8,8,3,3,3,2,12,5,2,7,12,5,5,12,4,13,11,7,11,11,10,4,12,2,2,14,14,14,14,13,13,4,3,2,14,6,11,11,6,12,6,6,1,1,1,3,3,3,6,6,14,14,1,13,6,9,12,12,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,9,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"3713300SF18",6,6,1,1,12,3,6,6,1,12,3,1,12,8,12,1,7,2,2,5,12,5,1,1,5,1,1,11,3,5,4,13,7,14,7,7,6,6,6,11,13,4,3,2,2,14,3,3,3,3,3,3,3,8,3,3,3,6,7,7,14,14,12,6,9,6,6,14,14,14,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,12,12,4,4,4,4,4,4
"37047000P06",7,4,13,12,8,9,13,1,1,12,8,8,3,3,3,2,12,5,2,7,12,5,12,12,4,13,11,7,11,11,10,4,12,2,2,14,14,14,14,13,13,4,3,2,14,6,11,11,6,12,6,6,1,1,1,3,3,3,6,6,14,14,1,13,6,9,12,12,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,9,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"37047000P05",7,4,13,12,8,9,13,1,1,12,8,8,3,3,3,2,12,5,2,5,12,5,5,12,4,13,11,7,11,11,10,4,12,2,2,14,14,14,14,13,13,4,3,2,14,6,11,11,6,12,6,6,1,1,3,3,3,3,6,6,14,14,1,13,6,9,12,12,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,9,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"37047000P04",7,4,13,12,8,9,13,1,1,12,8,8,3,3,3,2,12,5,2,5,12,5,5,12,4,13,11,7,11,11,10,4,12,2,2,14,14,14,14,13,13,4,3,2,14,6,11,11,6,12,6,6,1,1,3,3,3,3,6,6,14,14,1,13,6,9,12,12,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,9,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"37047000P03",7,4,13,12,8,9,13,1,1,12,8,8,3,3,3,2,12,5,2,5,12,5,5,12,4,13,11,7,11,11,10,4,12,2,2,14,14,14,14,13,13,4,3,2,14,6,11,11,6,12,6,6,1,1,3,3,3,3,6,6,14,14,1,6,6,9,12,12,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,9,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"371370001GB",6,3,1,8,12,1,6,8,8,3,3,3,5,8,1,12,8,8,8,11,11,1,4,1,7,1,1,11,3,5,13,13,7,14,7,7,6,6,2,6,6,6,6,3,3,3,6,5,4,4,4,8,8,10,10,4,4,4,4,8,8,8,14,8,14,14,14,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,12,12,4,4,4,4,4,4
"37047000P09",7,4,13,12,8,9,13,1,1,12,8,8,3,3,3,2,12,5,2,7,12,5,12,12,4,13,11,7,11,11,10,4,12,2,2,14,14,14,14,13,13,4,3,2,14,6,11,11,6,12,6,6,1,1,1,3,3,3,6,6,14,14,1,13,6,9,12,12,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,9,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"3704500S-4A",13,13,2,11,5,11,7,11,5,2,11,10,6,13,13,13,6,11,11,9,10,9,3,8,3,12,4,12,9,9,3,12,3,12,12,3,8,8,8,10,14,1,8,8,12,1,1,1,7,7,7,14,13,11,11,11,14,9,10,10,9,11,10,10,2,2,10,3,3,3,3,14,11,1,2,2,13,13,13,3,3,3,3,3,3,3,3,3,3,11,11,11,3,3,3,11,11,11,11,3,3
"37183019-09",9,1,4,4,14,8,9,13,3,6,6,12,7,12,8,8,4,4,5,4,4,2,7,2,11,6,13,3,7,10,7,11,11,7,13,13,7,12,3,3,3,5,2,6,4,5,10,6,5,9,9,9,10,4,8,7,8,8,1,4,4,4,8,14,12,7,7,9,4,12,12,8,6,6,6,6,6,6,6,10,10,9,9,6,6,6,6,6,6,8,8,8,8,4,4,12,12,12,12,5,5
"370970000NH",14,12,7,7,9,4,4,5,11,5,1,11,13,6,14,9,6,9,10,2,14,9,3,8,3,9,8,4,9,9,8,3,2,12,3,12,9,7,10,14,8,10,7,9,11,11,12,14,11,14,5,5,12,2,5,5,2,11,9,11,12,3,9,1,2,2,1,1,13,10,14,3,3,3,3,3,3,3,3,13,13,13,1,1,11,13,13,5,5,5,5,6,6,11,11,3,3,3,3,6,6
"37047000P08",7,4,13,12,8,9,13,1,1,12,8,8,3,3,3,2,12,5,2,7,12,5,5,12,4,13,11,7,11,11,10,4,12,2,2,14,14,14,14,13,13,4,3,2,14,6,11,11,6,12,6,6,1,1,3,3,3,3,6,6,14,14,1,13,6,9,12,12,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,9,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"37183019-07",9,1,4,4,14,8,9,13,3,13,6,12,7,12,8,8,4,7,5,4,4,4,7,2,11,6,13,3,7,7,7,11,11,7,13,13,7,12,3,3,3,5,2,6,4,5,10,4,5,9,9,9,10,4,8,7,8,8,1,4,4,4,8,14,12,7,7,9,4,12,12,8,6,6,6,6,6,6,6,10,10,9,9,6,6,6,6,6,6,8,8,8,8,4,4,12,12,12,12,5,5
"37183019-05",9,1,4,4,13,8,9,13,3,13,6,12,7,12,7,3,3,4,5,4,4,4,2,2,11,6,13,3,7,7,7,11,11,7,13,13,7,12,3,3,3,5,2,6,4,5,10,4,5,9,9,9,10,4,8,7,8,8,1,4,4,4,8,14,12,7,7,9,4,12,12,8,6,6,6,6,6,6,6,10,10,9,9,6,6,6,6,6,6,8,8,8,8,4,4,12,12,12,12,5,5
"37123000ELD",11,5,3,6,10,10,10,14,10,4,9,2,4,6,14,9,11,9,1,14,6,3,12,12,4,5,7,14,5,11,5,5,5,11,14,4,13,3,14,13,7,10,7,9,14,6,11,11,1,12,6,6,1,1,1,1,11,13,14,14,3,6,2,13,6,9,12,12,9,9,9,9,9,9,9,9,9,9,12,5,12,12,12,12,12,9,9,9,9,6,6,5,5,5,5,5,5,5,7,7,7
"37183019-03",9,1,4,4,13,8,9,13,3,13,6,12,7,12,7,8,4,7,5,4,4,4,7,2,11,6,13,3,7,7,7,11,11,7,13,13,7,12,3,3,3,5,2,6,4,5,10,4,5,9,9,9,10,4,8,7,8,8,1,4,4,4,8,14,12,7,7,9,4,12,12,8,6,6,6,6,6,6,6,10,10,9,9,6,6,6,6,6,6,8,8,8,8,4,4,12,12,12,12,5,5
"37125EUR-WP",11,5,3,10,10,10,10,7,10,11,9,2,4,5,5,4,1,5,7,7,7,12,12,12,4,5,7,14,5,11,5,14,5,11,2,14,14,14,5,7,7,2,13,5,5,13,9,10,10,1,1,1,6,7,7,6,6,14,14,14,3,13,4,7,8,4,8,8,12,5,5,5,10,8,8,8,12,12,12,5,12,12,12,12,12,9,9,9,9,6,6,5,5,5,5,5,5,5,7,7,7
"37099000SCC",5,9,9,2,2,14,11,2,2,14,10,14,14,14,11,6,13,13,13,13,10,14,14,14,14,14,14,8,8,8,2,2,9,9,9,9,10,10,12,12,12,12,12,12,8,8,8,13,13,13,13,13,14,14,14,14,9,2,11,9,10,10,11,11,11,11,11,11,11,11,11,11,14,14,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"370890000GM",5,9,9,2,2,14,11,2,2,14,10,14,14,14,11,6,13,13,13,13,10,14,14,14,14,14,14,8,8,8,2,12,9,9,9,9,10,10,12,12,12,12,12,12,8,8,8,13,13,13,13,13,14,14,14,14,9,2,11,9,10,10,11,11,11,11,11,11,11,11,11,11,14,14,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"371350000GB",1,8,8,10,13,7,1,7,4,10,13,13,1,1,2,7,2,12,12,8,2,7,11,4,2,7,3,1,1,14,1,1,1,1,1,11,12,4,5,7,7,2,13,5,5,13,4,10,10,1,10,1,6,7,7,6,6,14,14,14,3,13,7,4,4,8,4,4,8,8,5,5,10,8,8,8,12,12,12,5,12,12,12,12,12,9,9,9,9,6,6,5,5,5,5,5,5,5,7,7,7
"370510G5B-2",7,14,14,13,1,10,13,1,6,8,8,8,4,5,3,2,12,5,4,11,8,12,5,7,1,5,7,14,5,3,11,6,6,13,4,2,4,2,4,11,11,3,4,14,14,6,11,11,6,12,6,6,1,1,1,1,1,3,6,6,6,6,1,13,6,9,12,12,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,9,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"370510G5B-1",7,5,14,13,1,9,13,1,6,8,8,8,4,5,3,2,12,5,4,11,8,12,5,7,1,5,7,7,5,3,11,6,6,13,4,2,4,2,4,11,11,3,4,14,14,6,11,11,6,12,6,6,1,1,1,1,1,3,6,6,6,6,1,13,6,9,12,12,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,9,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"371350000GL",1,8,8,14,13,7,1,9,9,9,13,13,1,1,2,4,2,12,12,8,2,7,11,4,2,7,3,1,1,14,1,1,1,1,1,4,12,4,5,7,7,2,13,5,5,13,4,10,10,1,1,1,6,7,7,6,6,14,14,14,3,13,7,4,4,8,4,4,8,8,5,5,10,8,8,8,12,12,12,5,12,12,12,12,12,9,9,9,9,6,6,5,5,5,5,5,5,5,7,7,7
"370890000GR",5,9,9,2,2,14,11,2,2,14,10,14,14,14,11,6,13,13,13,13,10,14,14,14,14,14,14,8,8,8,2,12,9,9,9,9,10,10,12,12,12,12,12,12,8,8,8,13,13,13,13,13,14,14,14,14,9,2,11,9,10,10,11,11,11,11,11,11,11,11,11,11,14,14,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"370210005.1",5,9,9,2,2,14,11,2,2,14,10,14,14,14,11,6,13,13,13,13,10,14,14,14,14,14,14,8,8,8,2,2,9,9,9,9,10,10,12,12,12,12,12,12,8,8,8,13,13,13,13,13,14,14,14,14,9,2,11,9,10,10,11,11,11,11,11,11,11,11,11,11,14,14,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"3706100ROCK",6,6,6,1,12,9,6,6,6,12,3,1,12,8,12,2,7,7,4,11,8,11,1,1,5,11,7,13,3,5,4,7,6,14,2,14,6,6,6,13,13,4,3,2,2,14,3,3,3,3,3,3,3,8,10,1,3,6,7,7,14,14,12,6,9,6,6,14,14,14,4,7,7,7,10,10,10,10,9,7,7,7,7,7,10,10,10,12,8,9,12,12,4,8,8,8,8,8,8,8,8
